timestep,vel_proxy_y
415,0.03254839
416,0.02934374
417,0.02983485
418,0.02700655
419,0.02574409
420,0.02927725
421,0.03042586
422,0.03171483
423,0.03443438
424,0.03591801
425,0.03663874
426,0.03428274
427,0.03348666
428,0.02956232
429,0.02913923
430,0.02553526
431,0.02286608
432,0.02360458
433,0.02262200
434,0.02298294
435,0.02039213
436,0.01928082
437,0.02246782
438,0.03195371
439,0.03031158
440,0.03009825
441,0.03401911
442,0.03428130
443,0.02985548
444,0.03171781
445,0.03287145
446,0.03140270
447,0.04005433
448,0.03985381
449,0.03735503
450,0.03746068
451,0.02942998
452,0.02972272
453,0.02573372
454,0.02411603
455,0.02512126
456,0.02337720
457,0.02239952
458,0.02175809
459,0.03323995
460,0.05653087
461,0.05206730
462,0.02303649
463,-0.00806663
464,-0.01371888
465,-0.00299063
466,0.00772216
467,0.00535015
468,-0.00904287
469,-0.01312269
470,-0.00143972
471,0.00605546
472,0.01576728
473,0.01744837
474,0.01196820
475,-0.01131819
476,-0.01861585
477,-0.01686652
478,-0.00445951
479,0.00013746
480,0.00057330
481,-0.00533773
482,-0.00925334
483,-0.01118446
484,-0.01451445
485,-0.01673968
486,-0.01872169
487,-0.01897524
488,-0.01656522
489,-0.01580386
490,-0.01359944
491,-0.01146048
492,-0.00863573
493,-0.00764264
494,-0.00393699
495,-0.00169068
496,0.00086597
497,0.00377746
498,0.01340066
499,0.01950795
500,0.02587414
501,0.02782308
502,0.03261737
503,0.03470168
504,0.02490946
505,0.02119088
506,0.01960006
507,0.01490474
508,0.01457587
509,0.01696681
510,0.02085414
511,0.02077055
512,0.01195796
513,0.00428707
514,-0.00210913
515,-0.00460307
516,-0.00044378
517,-0.00094359
518,0.00329083
519,0.00371835
520,0.00624064
521,0.01838497
522,0.02956893
523,0.04012754
524,0.05192981
525,0.05959760
526,0.04978069
527,0.02795322
528,0.01086336
529,0.00498709
530,0.00741670
531,0.01185761
532,0.01020028
533,0.00975795
534,0.00523921
535,-0.00283388
536,-0.00397518
537,-0.00843663
538,-0.00607311
539,-0.00800775
540,-0.01061096
541,-0.01317073
542,-0.01051830
543,-0.01378894
544,-0.00823932
545,0.00039728
546,0.00060928
547,0.00362397
548,0.00676681
549,0.01248798
550,0.01607781
551,0.02469167
552,0.03919715
553,0.05099684
554,0.05431538
555,0.05499815
556,0.05354684
557,0.04998346
558,0.04598950
559,0.04292373
560,0.03867059
561,0.03587609
562,0.03399868
563,0.03547698
564,0.02986890
565,0.03397222
566,0.03746784
567,0.03929143
568,0.03274322
569,0.03230007
570,0.03558079
571,0.03607018
572,0.03793186
573,0.04318170
574,0.04524050
575,0.04862851
576,0.05573786
577,0.05673106
578,0.05228281
579,0.04537168
580,0.04214666
581,0.04182391
582,0.04236881
583,0.04306995
584,0.04272038
585,0.04175070
586,0.04255461
587,0.04195311
588,0.04100657
589,0.03792391
590,0.03727827
591,0.03646258
592,0.03539309
593,0.03345967
594,0.03291542
595,0.03203104
596,0.03066577
597,0.02922442
598,0.03124644
599,0.02908438
600,0.02855411
601,0.02228446
602,0.02634257
603,0.02905506
604,0.02461515
605,0.02041457
606,0.01772686
607,0.01845492
608,0.02031789
609,0.02054615
610,0.02319388
611,0.02422664
612,0.02364309
613,0.02373268
614,0.02445105
615,0.02346512
616,0.01842163
617,0.01886588
618,0.02019902
619,0.01707095
620,0.02021990
621,0.02055757
622,0.01977189
623,0.01959184
624,0.02052207
625,0.02537022
626,0.03132902
627,0.03641357
628,0.03736170
629,0.03540815
630,0.02919251
631,0.02874421
632,0.02844938
633,0.02924764
634,0.02675282
635,0.02416074
636,0.02423812
637,0.02720056
638,0.03465635
639,0.03249637
640,0.03229208
641,0.03248430
642,0.03403412
643,0.03138709
644,0.03493845
645,0.03673487
646,0.03178063
647,0.03723616
648,0.03644368
649,0.03384952
650,0.03462808
651,0.03375246
652,0.02926265
653,0.03116149
654,0.02874011
655,0.02495232
656,0.02737720
657,0.03918949
658,0.04339910
659,0.02971903
660,0.00723855
661,-0.01590020
662,-0.00015998
663,0.01985361
664,0.01511078
665,-0.00020533
666,0.00517176
667,0.01497639
668,0.02234942
669,0.02291583
670,0.01854842
671,0.01130507
672,-0.00905840
673,-0.01092757
674,-0.00542626
675,-0.00027733
676,-0.00611771
677,-0.01216333
678,-0.01236032
679,-0.01669277
680,-0.02041126
681,-0.02002271
682,-0.01995181
683,-0.01905540
684,-0.01770050
685,-0.01603305
686,-0.01312501
687,-0.00871066
688,-0.00412069
689,-0.00161767
690,0.00413885
691,0.00830192
692,0.01050380
693,0.01213060
694,0.01865382
